participant_id,age_group,role,data_literacy,device,prototype_version,task_id,task_name,task_category,task_success,completion_time_sec,clicks,errors,help_needed,ease_of_use_1_5,visual_clarity_1_5,filter_usability_1_5,confidence_in_answer_1_5,satisfaction_1_5,accessibility_rating_1_5,avg_rating_1_5,usability_score_0_100,most_confusing_element,comment_sentiment,open_comment
P001,18-24,Administrative Staff,Medium,Desktop,Prototype A,T1,Find the overall satisfaction score,Overview,1,52,6,0,0,3,4,4,4,3,4,3.67,85.0,Chart labels,Neutral,"The app was understandable, but some labels could be clearer."
P001,18-24,Administrative Staff,Medium,Desktop,Prototype A,T2,Filter results by user group,Filtering,1,54,7,1,0,3,4,4,3,4,4,3.67,81.0,Filters,Neutral,"The app was understandable, but some labels could be clearer."
P001,18-24,Administrative Staff,Medium,Desktop,Prototype A,T3,Identify the worst-rated feature,Analysis,1,81,8,0,0,4,3,4,4,4,4,3.83,83.1,None,Positive,The filters were clear and useful.
P001,18-24,Administrative Staff,Medium,Desktop,Prototype A,T4,Find detailed comments for a selected issue,Details,1,100,7,0,0,3,3,4,4,4,3,3.5,78.0,None,Positive,The overview cards helped me start quickly.
P002,18-24,Student,Low,Tablet,Prototype A,T1,Find the overall satisfaction score,Overview,1,69,4,2,1,3,4,3,3,4,3,3.33,72.5,Chart labels,Neutral,"I found the answer, but it took a little time."
P002,18-24,Student,Low,Tablet,Prototype A,T2,Filter results by user group,Filtering,0,165,13,1,1,2,3,3,2,3,3,2.67,29.6,Mobile layout,Negative,The chart labels were confusing.
P002,18-24,Student,Low,Tablet,Prototype A,T3,Identify the worst-rated feature,Analysis,0,122,11,2,1,3,2,3,2,2,3,2.5,29.3,Color meaning,Negative,I was not sure which filter affected which chart.
P002,18-24,Student,Low,Tablet,Prototype A,T4,Find detailed comments for a selected issue,Details,0,163,11,4,1,3,2,2,2,2,3,2.33,15.6,Chart labels,Negative,"On the small screen, the table was hard to read."
P003,25-34,Research Assistant,Low,Mobile,Prototype A,T1,Find the overall satisfaction score,Overview,0,101,10,3,1,3,2,3,2,2,3,2.5,27.9,Color meaning,Negative,I was not sure which filter affected which chart.
P003,25-34,Research Assistant,Low,Mobile,Prototype A,T2,Filter results by user group,Filtering,1,85,6,0,0,3,4,2,3,3,3,3.0,75.3,Chart labels,Neutral,"The dashboard worked, but I would prefer more explanations."
